City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Troitskoye,RU,52.9821,84.6757,34.7,95,100,8.39,overcast clouds
79,Alma,CA,48.5501,-71.6491,52.11,49,49,6.46,scattered clouds
80,Ribeira Grande,PT,38.5167,-28.7,71.33,90,100,20.11,overcast clouds
81,Chimore,BO,-16.9833,-65.1333,93.24,42,57,3.38,moderate rain
82,Cherskiy,RU,68.75,161.3,-1.05,98,100,5.14,overcast clouds
83,Bonthe,SL,7.5264,-12.505,76.39,88,100,4.23,overcast clouds
84,Quelimane,MZ,-17.8786,36.8883,73.09,69,0,7.47,clear sky
85,Baykit,RU,61.67,96.37,17.74,87,98,10.16,overcast clouds
86,Dingle,PH,10.9995,122.6711,75.42,92,89,8.1,overcast clouds
87,Kapaa,US,22.0752,-159.319,75.18,97,1,6.91,clear sky
88,Tual,ID,-5.6667,132.75,83.07,72,100,5.88,overcast clouds
89,Kodiak,US,57.79,-152.4072,44.47,93,100,35.05,moderate rain
90,Bethel,US,41.3712,-73.414,63.48,96,97,9.62,light rain
91,Dikson,RU,73.5069,80.5464,7.11,92,100,17.05,overcast clouds
92,The Valley,AI,18.217,-63.0578,87.66,61,20,13.8,few clouds
93,Poum,NC,-20.2333,164.0167,75.0,74,11,4.23,few clouds
94,Sao Desiderio,BR,-12.3633,-44.9733,94.57,29,61,4.14,broken clouds
95,Lagoa,PT,39.05,-27.9833,70.16,90,100,23.76,overcast clouds
96,Tiksi,RU,71.6872,128.8694,-2.22,97,100,6.62,overcast clouds
97,Marawi,PH,7.9986,124.2928,68.74,94,72,0.69,broken clouds
98,Pangai,TO,-19.8,-174.35,76.5,72,58,17.29,broken clouds
99,Bousso,TD,10.4795,16.7117,87.84,39,78,2.06,broken clouds
100,Qaanaaq,GL,77.484,-69.3632,2.53,51,0,8.25,clear sky
101,Alofi,NU,-19.0595,-169.9187,76.64,72,100,15.01,light rain
102,Leh,IN,34.1667,77.5833,26.38,57,3,2.71,clear sky
103,Orotukan,RU,62.2667,151.7,-0.99,99,100,3.13,overcast clouds
104,Ahipara,NZ,-35.1667,173.1667,62.37,97,100,12.95,overcast clouds
105,Les Escoumins,CA,48.1111,-69.0236,47.97,54,46,5.06,scattered clouds
106,Sulangan,PH,11.1373,123.7228,83.17,71,63,24.27,broken clouds
107,Menton,FR,43.7765,7.5044,61.07,79,100,9.69,overcast clouds
108,Avarua,CK,-21.2078,-159.775,73.45,68,20,13.8,few clouds
109,Cullera,ES,39.1667,-0.25,74.64,65,100,14.74,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,73.13,71,69,8.41,broken clouds
111,Kieta,PG,-6.2167,155.6333,78.4,86,81,4.47,moderate rain
112,Hofn,IS,64.2539,-15.2082,42.17,90,100,9.42,light rain
113,Mayo,US,38.8876,-76.5119,65.37,74,38,10.0,scattered clouds
114,Saskylakh,RU,71.9167,114.0833,8.91,92,100,10.89,overcast clouds
115,Ambon,ID,-3.6954,128.1814,81.34,74,100,1.3,overcast clouds
116,Vestmannaeyjar,IS,63.4427,-20.2734,45.16,77,91,3.94,overcast clouds
117,Oktyabrskoye,RU,43.0645,44.7417,39.34,93,75,6.71,mist
118,Iqaluit,CA,63.7506,-68.5145,35.2,75,99,19.44,overcast clouds
119,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,77,3.87,broken clouds
120,Laem Sing,TH,12.4816,102.0738,77.23,90,100,4.07,overcast clouds
121,Jalu,LY,29.0331,21.5482,73.24,33,1,5.97,clear sky
122,Matagami,CA,49.7502,-77.6328,51.06,46,92,7.47,overcast clouds
123,Mocuba,MZ,-16.8392,36.9856,72.41,59,1,6.87,clear sky
124,Ewo,CG,-0.8725,14.8206,79.12,73,100,0.67,light rain
125,Knyaze-Volkonskoye,RU,48.4642,135.4567,36.0,81,97,13.15,overcast clouds
126,Torbay,CA,47.6666,-52.7314,52.48,49,4,4.0,clear sky
127,Flinders,AU,-34.5833,150.8552,49.24,74,20,4.76,few clouds
128,Katobu,ID,-4.9408,122.5276,74.55,94,94,0.98,overcast clouds
129,Galbshtadt,RU,53.2264,78.9845,30.96,94,68,9.19,broken clouds
130,Carnarvon,AU,-24.8667,113.6333,68.07,64,0,14.97,clear sky
131,Dunda,TZ,-8.1167,34.25,74.88,53,39,1.92,scattered clouds
132,Apomu,NG,7.3333,4.1833,77.65,80,100,3.09,overcast clouds
133,Bengkulu,ID,-3.8004,102.2655,76.12,92,100,4.79,moderate rain
134,Glubokiy,RU,48.5217,40.3258,44.96,59,1,5.41,clear sky
135,Potoci,BA,43.4086,17.8786,44.08,62,0,1.19,clear sky
136,Asfi,MA,32.2994,-9.2372,66.81,83,25,4.61,scattered clouds
137,Chokurdakh,RU,70.6333,147.9167,-2.76,98,100,5.79,overcast clouds
138,Soyo,AO,-6.1349,12.3689,78.01,85,88,11.03,overcast clouds
139,Ha Tinh,VN,18.3333,105.9,71.13,95,100,4.72,overcast clouds
140,Am Timan,TD,11.0297,20.2827,83.89,28,80,3.87,broken clouds
141,Madang,PG,-5.2246,145.7966,77.88,88,100,5.14,overcast clouds
142,Alice Springs,AU,-23.7,133.8833,64.51,47,100,16.13,overcast clouds
143,Paredon,MX,16.0333,-93.8667,87.48,49,10,7.14,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,61.11,92,1,5.91,clear sky
145,Praia Da Vitoria,PT,38.7333,-27.0667,71.74,85,100,14.27,overcast clouds
146,Warrnambool,AU,-38.3833,142.4833,44.67,89,2,8.86,clear sky
147,Pangnirtung,CA,66.1451,-65.7125,33.94,99,100,10.83,moderate rain
148,Jinxiang,CN,27.4327,120.6062,63.63,83,3,6.49,light rain
149,Ayorou,NE,14.7308,0.9174,95.23,12,39,6.73,scattered clouds
150,Khani,GE,41.9563,42.9566,53.17,74,16,6.08,few clouds
151,Naze,JP,28.3667,129.4833,67.42,77,3,6.31,clear sky
152,Avera,US,33.194,-82.5271,63.72,58,70,14.36,broken clouds
153,Luderitz,NA,-26.6481,15.1594,61.0,86,0,6.38,clear sky
154,Tasiilaq,GL,65.6145,-37.6368,24.96,63,26,6.4,scattered clouds
155,Deer Lake,CA,49.1667,-57.4316,55.27,39,39,2.35,scattered clouds
156,Razdolinsk,RU,58.4211,94.6658,20.93,70,57,8.93,broken clouds
157,Anapoima,CO,4.5203,-74.5394,82.58,64,92,6.42,overcast clouds
158,Castro,BR,-24.7911,-50.0119,71.35,75,51,7.9,broken clouds
159,George Town,MY,5.4112,100.3354,76.95,94,100,6.58,overcast clouds
160,Nizwa,OM,22.9333,57.5333,79.27,31,0,2.04,clear sky
161,Loralai,PK,30.3705,68.598,59.61,18,0,6.76,clear sky
162,Tiznit,MA,29.5833,-9.5,68.58,49,0,4.94,clear sky
163,Gubkinskiy,RU,64.434,76.5026,12.04,91,99,18.79,overcast clouds
164,Hualmay,PE,-11.0964,-77.6139,68.54,70,63,7.65,broken clouds
165,Fayaoue,NC,-20.65,166.5333,74.62,73,1,10.13,clear sky
